group,Extremely Familiar,Very Familiar,Somewhat Familiar,Not so familiar,Not at all Familiar
Alan Jabbour,7,12,47,28,3
Alan Lomax,11,25,140,94,23
Ann and Frank Warner,5,5,16,6,0
Edith Fowke,7,4,13,6,6
Eloise Hubbard Linscott,1,0,2,3,0
Captain Francis O'Neill,11,24,155,114,27
George Korson,3,4,2,0,0
Helen Creighton,9,7,26,5,4
Helen Hartness Flanders,3,2,8,4,0
Ivan Walton,1,3,4,2,0
Lani Hermann,5,3,7,7,0
Laura Bolton,1,1,9,0,1
Max Hunter,0,1,1,0,1
Mick Moloney,10,22,144,98,15
Peter R Hoover,0,0,0,3,0
Philips Barry,2,1,4,0,0
Robert F. Draves & H Stratman,0,1,1,0,0
Sidney Robertson-Cowell,3,5,9,0,0
